Sling Bullets (20) (4 cp, 1.5 lb)
Staff (5 gp, 4 lb)
Quarterstaff (2 sp, 4 lb)
Yew Wand (10 gp, 1 lb)
Wand (10 gp, 1 lb)
Totem (1 gp, 0.1 lb)
Sprig of Mistletoe (1 gp, 0.1 lb)
Rod (10 gp, 2 lb)
Reliquary (5 gp, 2 lb)
Orb (25 gp, 3 lb)
Holy Symbol (1 gp lb)
Emblem (5 gp, 0.1 lb)
Druidic Focus (1 gp, 0.1 lb)
Crystal (10 gp, 1 lb)
Arcane Focus (1 gp, 0.1 lb)
Amulet (5 gp, 1 lb)
Thieves' Tools (25 gp, 1 lb)
Poisoner's Kit (50 gp, 2 lb)
Navigator's Tools (25 gp, 2 lb)
Herbalism Kit (5 gp, 3 lb)
Forgery Kit (15 gp, 5 lb)
Disguise Kit (25 gp, 3 lb)
Stabling (per day) (5 sp, 10 lb)
Saddlebags (4 gp, 8 lb)
Riding Saddle (10 gp, 25 lb)
Pack Saddle (5 gp, 15 lb)
Military Saddle (20 gp, 30 lb)
Feed (per day) (5 cp, 10 lb)
Exotic Saddle (60 gp, 40 lb)
Bit and bridle (2 gp, 1 lb)
Barding (x4 gp, x2 lb)
Gunpowder Keg (250 gp, 20 lb)
Gunpowder Horn (35 gp, 2 lb)
Bomb (150 gp, 1 lb)
Renaissance Bullets (10) (3 gp, 2 lb)
Renaissance Bullet (3 sp, 0.2 lb)
Vial of Stardust (10 gp 0.1 lb)
Tangler Grenade (10 gp 0.1 lb)
Nimblewright Detector (10 gp 0.1 lb)
Matchless Pipe (10 gp 0.1 lb)
Barking Box (10 gp 0.1 lb)
Backpack Parachute (10 gp 0.1 lb)
Adjustable Stilts (10 gp 0.1 lb)
Three-Dragon Ante Set (1 gp, 0.1 lb)
Playing Card Set (5 sp, 0.1 lb)
Dragonchess Set (1 gp, 0.5 lb)
Dice Set (1 sp, 0.1 lb)
Woodcarver's Tools (1 gp, 5 lb)
Weaver's Tools (1 gp, 5 lb)
Tinker's Tools (50 gp, 10 lb)
Smith's Tools (20 gp, 8 lb)
Potter's Tools (10 gp, 3 lb)
Painter's Supplies (10 gp, 5 lb)
Mason's Tools (10 gp, 8 lb)
Leatherworker's Tools (5 gp, 5 lb)
Jeweler's Tools (25 gp, 2 lb)
Glassblower's Tools (30 gp, 5 lb)
Cook's Utensils (1 gp, 8 lb)
Cobbler's Tools (5 gp, 5 lb)
Cartographer's Tools (15 gp, 6 lb)
Carpenter's Tools (8 gp, 6 lb)
Calligrapher's Supplies (10 gp, 5 lb)
Brewer's Supplies (20 gp, 9 lb)
Alchemist's Supplies (50 gp, 8 lb)
Zabou (10 gp, 1 lb)
Yahcha (1 gp, 1 lb)
Wukka Nut (1 gp, 0.1 lb)
Wildroot (25 gp, 1 lb)
Whetstone (1 cp, 1 lb)
Waterskin (2 sp, 5 lbs. (full))
Vial (1 gp, 0.1 lb)
Two-Person Tent (2 gp, 20 lb)
Trinket (1 gp, 0.1 lb)
Traveler's Clothes (2 gp, 4 lb)
Torch (1 cp, 1 lb)
Tome (25 gp, 5 lb)
Tinderbox (5 sp, 1 lb)
Tej (2 sp, 5 lb)
Tankard (1 cp, 0.1 lb)
Steel Mirror (5 gp, 0.5 lb)
Spyglass (1000 gp, 1 lb)
Spellbook (50 gp, 3 lb)
Soap (2 cp, 0.1 lb)
Sledgehammer (2 gp, 10 lb)
Sinda berries (10) (5 gp, 1 lb)
Silk Rope (50 feet) (10 gp, 5 lb)
Signet Ring (5 gp, 0.1 lb)
Signal Whistle (5 cp, 0.1 lb)
Shovel (2 gp, 5 lb)
Sealing Wax (5 sp, 0.1 lb)
Scholar's Pack (40 gp, 10 lb)
Sack (1 cp, 0.5 lb)
Ryath Root (50 gp, 0.1 lb)
Robes (1 gp, 4 lb)
Rations (1 day) (5 sp, 2 lb)
Rain Catcher (1 gp, 5 lb)
Quiver (1 gp, 1 lb)
Priest's Pack (19 gp, 24 lb)
Pouch (5 sp, 1 lb)
Portable Ram (4 gp, 35 lb)
Pole (10-foot) (5 cp, 7 lb)
Piton (5 cp, 0.25 lb)
Pitcher (2 cp, 4 lb)
Perfume (vial) (5 gp, 0.1 lb)
Parchment (one sheet) (1 sp, 0.1 lb)
Paper (one sheet) (2 sp, 0.1 lb)
Oil (flask) (1 sp, 1 lb)
Monster Hunter's Pack (33 gp, 48.5 lb)
Miner's Pick (2 gp, 10 lb)
Mess Kit (2 sp, 1 lb)
Merchant's Scale (5 gp, 3 lb)
Menga leaves (1 ounce) (2 gp, 1 lb)
Map or Scroll Case (1 gp, 1 lb)
Manacles (2 gp, 6 lb)
Magnifying Glass (100 gp, 0.1 lb)
Lock (10 gp, 1 lb)
Lamp (5 sp, 1 lb)
Ladder (10-foot) (1 sp, 25 lb)
Jug (2 cp, 4 lb)
Iron Spikes (10) (1 gp, 5 lb)
Iron Spikes (1 sp, 0.5 lb)
Iron Pot (2 gp, 10 lb)
Insect Repellent (greasy salve) (1 gp, 1 lb)
Insect Repellent (block of incense) (1 sp, 1 lb)
Ink Pen (2 cp, 0.1 lb)
Ink (1-ounce bottle) (10 gp, 0.1 lb)
Hunting Trap (5 gp, 25 lb)
Hourglass (25 gp, 1 lb)
Hooded Lantern (5 gp, 2 lb)
Holy Water (flask) (25 gp, 1 lb)
Hempen Rope (50 feet) (1 gp, 10 lb)
Healer's Kit (5 gp, 3 lb)
Hammer (1 gp, 3 lb)
Grappling Hook (2 gp, 4 lb)
Glass Bottle (2 gp, 2 lb)
Flask (1 cp, 1 lb)
Fishing Tackle (1 gp, 4 lb)
Fine Clothes (15 gp, 6 lb)
Explorer's Pack (10 gp, 59 lb)
Entertainer's Pack (40 gp, 38 lb)
Dungeoneer's Pack (12 gp, 61.5 lb)
Diplomat's Pack (39 gp, 36 lb)
Dancing Monkey Fruit (5 gp, 0.1 lb)
Crowbar (2 gp, 5 lb)
Crossbow Bolt Case (1 gp, 1 lb)
Costume Clothes (5 gp, 4 lb)
Component Pouch (25 gp, 2 lb)
Clothes (5 sp, 3 lb)
Climber's Kit (25 gp, 12 lb)
Chest (5 gp, 25 lb)
Chalk (1 piece) (1 cp, 0.1 lb)
Chain (10 feet) (5 gp, 10 lb)
Candle (1 cp, 0.1 lb)
Caltrops (20) (1 gp, 2 lb)
Caltrops (5 cp, 0.1 lb)
Burglar's Pack (16 gp, 44.5 lb)
Bullseye Lantern (10 gp, 2 lb)
Bucket (5 cp, 2 lb)
Book (25 gp, 5 lb)
Block and Tackle (1 gp, 5 lb)
Blanket (5 sp, 3 lb)
Bell (1 gp, 0.1 lb)
Bedroll (1 gp, 7 lb)
Basket (4 sp, 2 lb)
Barrel (2 gp, 70 lb)
Ball Bearings (Bag of 1,000) (1 gp, 2 lb)
Ball Bearing (0.1 cp, 0.002 lb)
Backpack (2 gp, 5 lb)
Antitoxin (50 gp, 0.1 lb)
Alchemist's Fire (flask) (50 gp, 1 lb)
Acid (vial) (25 gp, 1 lb)
Abacus (2 gp, 2 lb)
Awl (1 gp, 0.5 lb)
Bandages (1 gp, 0.5 lb)
Basin (1 gp, 0.5 lb)
Basket (1 gp, 0.5 lb)
Book (1 gp, 0.5 lb)
Bottle (1 gp, 0.5 lb)
Bowl (1 gp, 0.5 lb)
Box (1 gp, 0.5 lb)
Brush (1 gp, 0.5 lb)
Candle (1 gp, 0.5 lb)
Candle snuffer (1 gp, 0.5 lb)
Candlestick (1 gp, 0.5 lb)
Cane (1 gp, 0.5 lb)
Walking stick (1 gp, 0.5 lb)
Case (1 gp, 0.5 lb)
Casket (small) (1 gp, 0.5 lb)
Coffer (1 gp, 0.5 lb)
Cologne (1 gp, 0.5 lb)
Perfume (1 gp, 0.5 lb)
Comb (1 gp, 0.5 lb)
Cup (1 gp, 0.5 lb)
Decanter (1 gp, 0.5 lb)
Dish (1 gp, 0.5 lb)
Ear spoon (1 gp, 0.5 lb)
Ewer (1 gp, 0.5 lb)
Flagon (1 gp, 0.5 lb)
Mug (1 gp, 0.5 lb)
Tankard (1 gp, 0.5 lb)
Flask (1 gp, 0.5 lb)
Jar (1 gp, 0.5 lb)
Food (1 gp, 0.5 lb)
Fork (1 gp, 0.5 lb)
Grater (1 gp, 0.5 lb)
Grinder (1 gp, 0.5 lb)
Horn, drinking (1 gp, 0.5 lb)
Hourglass (1 gp, 0.5 lb)
Jug (1 gp, 0.5 lb)
Pitcher (1 gp, 0.5 lb)
Kettle (1 gp, 0.5 lb)
Key (1 gp, 0.5 lb)
Knife (1 gp, 0.5 lb)
Knucklebones (1 gp, 0.5 lb)
Dice (1 gp, 0.5 lb)
Ladle (1 gp, 0.5 lb)
Lamp (1 gp, 0.5 lb)
Lantern (1 gp, 0.5 lb)
Mirror (1 gp, 0.5 lb)
Needle (1 gp, 0.5 lb)
Oil, cooking (1 gp, 0.5 lb)
Oil, fuel (1 gp, 0.5 lb)
Oil, scented (1 gp, 0.5 lb)
Pan (1 gp, 0.5 lb)
Parchment (1 gp, 0.5 lb)
Pipe, musical (1 gp, 0.5 lb)
Pipe, smoking (1 gp, 0.5 lb)
Plate (1 gp, 0.5 lb)
Platter (1 gp, 0.5 lb)
Saucer (1 gp, 0.5 lb)
Pot (1 gp, 0.5 lb)
Pouch (1 gp, 0.5 lb)
Powder puff (1 gp, 0.5 lb)
Quill (1 gp, 0.5 lb)
Razor (1 gp, 0.5 lb)
Rope (1 gp, 0.5 lb)
Salve (1 gp, 0.5 lb)
Unguent (1 gp, 0.5 lb)
Scroll (1 gp, 0.5 lb)
Shaker (1 gp, 0.5 lb)
Sifter (1 gp, 0.5 lb)
Strainer (1 gp, 0.5 lb)
Soap (1 gp, 0.5 lb)
Spigot (1 gp, 0.5 lb)
Spoon (1 gp, 0.5 lb)
Stopper (1 gp, 0.5 lb)
Statuette (1 gp, 0.5 lb)
Figurine (1 gp, 0.5 lb)
Thread (1 gp, 0.5 lb)
Flint and steel (1 gp, 0.5 lb)
Towel (1 gp, 0.5 lb)
Tray (1 gp, 0.5 lb)
Trivet (1 gp, 0.5 lb)
Tripod (1 gp, 0.5 lb)
Tureen (1 gp, 0.5 lb)
Twine (1 gp, 0.5 lb)
Vase (1 gp, 0.5 lb)
Vial (1 gp, 0.5 lb)
Washcloth (1 gp, 0.5 lb)
Whetstone (1 gp, 0.5 lb)
Wig (1 gp, 0.5 lb)
Wool (1 gp, 0.5 lb)
Yarn (1 gp, 0.5 lb)
Wheat (1 cp, 1 lb)
Silver (5 gp, 1 lb)
Silk (1 sq. yd) (10 gp, 0.1 lb)
Salt (5 cp, 1 lb)
Saffron (15 gp, 1 lb)
Platinum (500 gp, 1 lb)
Pepper (2 gp, 1 lb)
Linen (1 sq. yd) (5 gp, 0.1 lb)
Iron (1 sp, 1 lb)
Gold (50 gp, 1 lb)
Ginger (1 gp, 1 lb)
Flour (2 cp, 1 lb)
Cotton Cloth (1 sq. yd) (5 sp, 0.1 lb)
Copper (5 sp, 1 lb)
Cloves (3 gp, 1 lb)
Cinnamon (2 gp, 1 lb)
Canvas (1 sq. yd) (1 sp, 0.1 lb)
Adamantine Bar (1000 gp, 10 lb)
Zircon (50 gp, 0.1 lb)
Yellow Sapphire (1000 gp, 0.1 lb)
Velvet doublet with gold buttons (25gp, 0.1 lb)
Turquoise (10 gp, 0.1 lb)
Treasure chest crafted of exotic wood with gold fittings and opals (7500 gp, 0.1 lb)
Tourmaline (100 gp, 0.1 lb)
Topaz (500 gp, 0.1 lb)
Tiny jade figurine (25gp, 0.1 lb)
Tiger Eye (10 gp, 0.1 lb)
Taol (2gp, 0.1 lb)
Sun amulet on a beaded chain (25gp, 0.1 lb)
Platinum coin with sun symbol (1 pp, 0.1 lb)
Star Sapphire (1000 gp, 0.1 lb)
Star Ruby (1000 gp, 0.1 lb)
Star rose quartz (50 gp, 0.1 lb)
Spinel (100 gp, 0.1 lb)
Small mirror set in a painted wooden frame (25 gp, 0.1 lb)
Small gold statuette set with rubies (7500 gp, 0.1 lb)
Small gold idol (750 gp, 0.1 lb)
Small gold bracelet (25 gp, 0.1 lb)
Silver-plated steel longsword with jet set in hilt (750 gp, 0.1 lb)
Silver shoulder piece with amber and garnet (750 gp, 0.1 lb)
Silver necklace with an amber pendant (250 gp, 0.1 lb)
Silver necklace with a gemstone pendant (250 gp, 0.1 lb)
Silver medallion (25gp, 0.1 lb)
Silver headdress with amber and red-coral feathers (750 gp, 0.1 lb)
Silver ewer (25 gp, 0.1 lb)
Silver chalice set with moonstones (750 gp, 0.1 lb)
Silver and gold brooch (750 gp, 0.1 lb)
Big silver coin (25cp, 0.05 lb)
Silver coin with person's head (1 sp, 0.02 lb)
Silk robe with gold embroidery (250 gp, 0.1 lb)
Shard (1sp, 0.1 lb)
Sardonyx (50 gp, 0.1 lb)
Ruby (5000 gp, 0.1 lb)
Rhodochrosite (10 gp, 0.1 lb)
Quartz (50 gp, 0.1 lb)
Platinum staff topped with amber (7500 gp, 0.1 lb)
Platinum ring with yellow sapphire (7500 gp, 0.1 lb)
Platinum headdress with topaz sun symbol (2500 gp, 0.1 lb)
Platinum bracelet set with a sapphire (2500 gp, 0.1 lb)
Big platinum coin with person's head (10pp 0.1 lb)
Platinum coin with person's head (1pp 0.1 lb)
Platinum coin (1 pp 0.02 lb)
Pewter mug with green spinels (250 gp, 0.1 lb)
Peridot (500 gp, 0.1 lb)
Pearl (100 gp, 0.1 lb)
Pair of engraved bone dice (25gp, 0.1 lb)
Pair of engraved bone dice (25 gp, 0.1 lb)
Painted gold war mask (750 gp, 0.1 lb)
Painted gold child's sarcophagus (7500 gp, 0.1 lb)
Opal (1000 gp, 0.1 lb)
Onyx (50 gp, 0.1 lb)
Old masterpiece painting (2500 gp, 0.1 lb)
Obsidian statuette with gold fittings and inlay (750 gp, 0.1 lb)
Obsidian (10 gp, 0.1 lb)
Copper coin with dragon head (1cp, 0.02 lb)
Necklace string of small pink pearls (2500 gp, 0.1 lb)
Necklace of jade and pink pearls (2500 gp, 0.1 lb)
Necklace of electrum medallions with red and blue tournalines (750 gp, 0.1 lb)
Moss Agate (10 gp, 0.1 lb)
Moonstone (50 gp, 0.1 lb)
Masterpiece painting in mahogany frame with gold inlay (2500 gp, 0.1 lb)
Marble font with gold inlay (7500 gp, 0.1 lb)
Malachite (10 gp, 0.1 lb)
Lute crafted of exotic wood with mother-of-pearl inlay and zircon gems (750 gp, 0.1 lb)
Large well-made tapestry (250 gp, 0.1 lb)
Large well-made tapestry (250 gp, 0.1 lb)
Large jade totem (750 gp, 0.1 lb)
Large gold bracelet (250 gp, 0.1 lb)
Lapis Lazuli (10 gp, 0.1 lb)
Jeweled platinum ring (7500 gp, 0.1 lb)
Jeweled gold crown (7500 gp, 0.1 lb)
Jeweled anklet (2,500 gp, 0.1 lb)
Jeweled anklet (2500 gp, 0.1 lb)
Jet (100 gp, 0.1 lb)
Jasper (50 gp, 0.1 lb)
Jade totem with diamond eyes (7500 gp, 0.1 lb)
Jade sword with amber (750 gp, 0.1 lb)
Jade headpiece (250 gp, 0.1 lb)
Jade game board with solid gold playing pieces (7500 gp, 0.1 lb)
Jade breastplate (7,500 gp, 0.1 lb)
Jade bowl (250 gp, 0.1 lb)
Jade (100 gp, 0.1 lb)
Jacinth (5000 gp, 0.1 lb)
Hematite (10 gp, 0.1 lb)
Crescent platinum coin (5 pp 0.1 lb)
Gold-plated sextant with topaz (750 gp, 0.1 lb)
Gold-plated ceremonial helmet and pauldrons (2500 gp, 0.1 lb)
Gold coin with person's head (1 gp, 0.1 lb)
Gold ring with turquoise (25 gp, 0.1 lb)
Gold ring set with bloodstones (250 gp, 0.1 lb)
Gold pendant with black onyx (250 gp, 0.1 lb)
Gold music box (2500 gp, 0.1 lb)
Gold locket with a painted portrait inside (25 gp, 0.1 lb)
Gold jewelry box with platinum filigree (7500 gp, 0.1 lb)
Gold dragon comb set with red garnets as eyes (750 gp, 0.1 lb)
Gold cup set with emeralds (7500 gp, 0.1 lb)
Gold circlet set with four aquamarines (2500 gp, 0.1 lb)
Gold chalice set with emeralds (7500 gp, 0.1 lb)
Gold chalice (750 gp, 0.1 lb)
Gold bird cage with electrum filigree (250 gp, 0.1 lb)
Gold basin with rubies (7500 gp, 0.1 lb)
Big gold coin (5gp, 0.1 lb)
Gold (gp) (1 gp, 0.02 lb)
Garnet (100 gp, 0.1 lb)
Fire Opal (1000 gp, 0.1 lb)
Finely articulated jade glove (2,500 gp, 0.1 lb)
Fine steel rapier with gold filigree hilt (750 gp, 0.1 lb)
Fine robe with dinosaur feathers and silver embroidery (250 gp, 0.1 lb)
Fine gold chain with fire opals (2500 gp, 0.1 lb)
Fine gold chain set with a fire opal (2500 gp, 0.1 lb)
Feathered mantle with emerald clasp (2500 gp, 0.1 lb)
Eye patch with a mock eye set in blue sapphire and moonstone (2500 gp, 0.1 lb)
Eye patch with a mock eye set in blue sapphire and moonstone (2500 gp, 0.1 lb)
Eye Agate (10 gp, 0.1 lb)
Emerald (1000 gp, 0.1 lb)
Embroidered silk handkerchief (25 gp, 0.1 lb)
Embroidered silk and velvet mantle set with numerous moonstones (2500 gp, 0.1 lb)
Embroidered glove set with jewel chips (2500 gp, 0.1 lb)
Electrum coin with person's head (1 ep 0.02 lb)
Electrum coin (1 ep, 0.02 lb)
Gold coin with dragon head (1gp, 0.1 lb)
Diamond (5000 gp, 0.1 lb)
Coral (100 gp, 0.1 lb)
Copper coin (1cp, 0.02 lb)
Copper stein with silver filigree (25 gp, 0.1 lb)
Copper chalice with silver filigree (25 gp, 0.1 lb)
Copper Alms-Coin (1cp, 0.1 lb)
Copper (cp) (1 cp, 0.02 lb)
Cloth-of-gold vestments (25gp, 0.1 lb)
Citrine (50 gp, 0.1 lb)
Chrysoprase (50 gp, 0.1 lb)
Chrysoberyl (100 gp, 0.1 lb)
Chalcedony (50 gp, 0.1 lb)
Ceremonial silver dagger with gold pommel and black pearl (750 gp, 0.1 lb)
Ceremonial electrum dagger with a black pearl in the pommel (750 gp, 0.1 lb)
Carved jade statuette (250 gp, 0.1 lb)
Carved ivory statuette (250 gp, 0.1 lb)
Carved harp of exotic wood with ivory inlay and zircon gems (750 gp, 0.1 lb)
Carved bone statuette (25 gp, 0.1 lb)
Carnelian (50 gp, 0.1 lb)
Bronze spyglass (250 gp, 0.1 lb)
Bronze crown (250 gp, 0.1 lb)
Brass mug with jade inlay (250 gp, 0.1 lb)
Box of turquoise animal figurines (250 gp, 0.1 lb)
Bottle stopper cork embossed with gold leaf and set with amethysts (750 gp, 0.1 lb)
Blue Spinel (500 gp, 0.1 lb)
Blue Sapphire (1000 gp, 0.1 lb)
Blue Quartz (10 gp, 0.1 lb)
Bloodstone (50 gp, 0.1 lb)
Black velvet mask stitched with silver thread (25 gp, 0.1 lb)
Black Sapphire (5000 gp, 0.1 lb)
Black Pearl (500 gp, 0.1 lb)
Black Opal (1000 gp, 0.1 lb)
Bejeweled ivory drinking horn with gold inlay (7500 gp, 0.1 lb)
Bejeweled ivory drinking horn with gold filigree (7500 gp, 0.1 lb)
Banded Agate (10 gp, 0.1 lb)
Azurite (10 gp, 0.1 lb)
Aquamarine (500 gp, 0.1 lb)
Amulet of dinosaur feathers (25gp, 0.1 lb)
Amethyst (100 gp, 0.1 lb)
Amber (100 gp, 0.1 lb)
Alexandrite (500 gp, 0.1 lb)
