Wooden Staff (5 gp, 4 lb)
Component Pouch (25 gp, 2 lb)
Clothes (5 sp, 3 lb)
Climber's Kit (25 gp, 12 lb)
Chest (5 gp, 25 lb)
Chalk (1 piece) (1 cp, 0.1 lb)
Chain (10 feet) (5 gp, 10 lb)
Candle (1 cp, 0.1 lb)
Caltrops (20) (1 gp, 2 lb)
Caltrops (5 cp, 0.1 lb)
Burglar's Pack (16 gp, 44.5 lb)
Bullseye Lantern (10 gp, 2 lb)
Bucket (5 cp, 2 lb)
Book (25 gp, 5 lb)
Block and Tackle (1 gp, 5 lb)
Blanket (5 sp, 3 lb)
Bell (1 gp, 0.1 lb)
Bedroll (1 gp, 7 lb)
Basket (4 sp, 2 lb)
Barrel (2 gp, 70 lb)
Ball Bearings (Bag of 1,000) (1 gp, 2 lb)
Ball Bearing (0.1 cp, 0.002 lb)
Backpack (2 gp, 5 lb)
Antitoxin (50 gp, 0.1 lb)
Alchemist's Fire (flask) (50 gp, 1 lb)
Acid (vial) (25 gp, 1 lb)
Abacus (2 gp, 2 lb)
Awl (1 gp, 0.5 lb)
Bandages (1 gp, 0.5 lb)
Basin (1 gp, 0.5 lb)
Basket (1 gp, 0.5 lb)
Book (1 gp, 0.5 lb)
Bottle (1 gp, 0.5 lb)
Bowl (1 gp, 0.5 lb)
Box (1 gp, 0.5 lb)
Brush (1 gp, 0.5 lb)
Candle (1 gp, 0.5 lb)
Candle snuffer (1 gp, 0.5 lb)
Candlestick (1 gp, 0.5 lb)
Cane (1 gp, 0.5 lb)
Walking stick (1 gp, 0.5 lb)
Case (1 gp, 0.5 lb)
Casket (small) (1 gp, 0.5 lb)
Coffer (1 gp, 0.5 lb)
Cologne (1 gp, 0.5 lb)
Perfume (1 gp, 0.5 lb)
Comb (1 gp, 0.5 lb)
Cup (1 gp, 0.5 lb)
Decanter (1 gp, 0.5 lb)
Dish (1 gp, 0.5 lb)
Ear spoon (1 gp, 0.5 lb)
Ewer (1 gp, 0.5 lb)
Flagon (1 gp, 0.5 lb)
Mug (1 gp, 0.5 lb)
Tankard (1 gp, 0.5 lb)
Flask (1 gp, 0.5 lb)
Jar (1 gp, 0.5 lb)
Food (1 gp, 0.5 lb)
Fork (1 gp, 0.5 lb)
Grater (1 gp, 0.5 lb)
Grinder (1 gp, 0.5 lb)
Horn, drinking (1 gp, 0.5 lb)
Hourglass (1 gp, 0.5 lb)
Jug (1 gp, 0.5 lb)
Pitcher (1 gp, 0.5 lb)
Kettle (1 gp, 0.5 lb)
Key (1 gp, 0.5 lb)
Knife (1 gp, 0.5 lb)
Knucklebones (1 gp, 0.5 lb)
Dice (1 gp, 0.5 lb)
Ladle (1 gp, 0.5 lb)
Lamp (1 gp, 0.5 lb)
Lantern (1 gp, 0.5 lb)
Mirror (1 gp, 0.5 lb)
Needle (1 gp, 0.5 lb)
Oil, cooking (1 gp, 0.5 lb)
Oil, fuel (1 gp, 0.5 lb)
Oil, scented (1 gp, 0.5 lb)
Pan (1 gp, 0.5 lb)
Parchment (1 gp, 0.5 lb)
Pipe, musical (1 gp, 0.5 lb)
Pipe, smoking (1 gp, 0.5 lb)
Plate (1 gp, 0.5 lb)
Platter (1 gp, 0.5 lb)
Saucer (1 gp, 0.5 lb)
Pot (1 gp, 0.5 lb)
Pouch (1 gp, 0.5 lb)
Powder puff (1 gp, 0.5 lb)
Quill (1 gp, 0.5 lb)
Razor (1 gp, 0.5 lb)
Rope (1 gp, 0.5 lb)
Salve (1 gp, 0.5 lb)
Unguent (1 gp, 0.5 lb)
Scroll (1 gp, 0.5 lb)
Shaker (1 gp, 0.5 lb)
Sifter (1 gp, 0.5 lb)
Strainer (1 gp, 0.5 lb)
Soap (1 gp, 0.5 lb)
Spigot (1 gp, 0.5 lb)
Spoon (1 gp, 0.5 lb)
Stopper (1 gp, 0.5 lb)
Statuette (1 gp, 0.5 lb)
Figurine (1 gp, 0.5 lb)
Thread (1 gp, 0.5 lb)
Flint and steel (1 gp, 0.5 lb)
Towel (1 gp, 0.5 lb)
Tray (1 gp, 0.5 lb)
Trivet (1 gp, 0.5 lb)
Tripod (1 gp, 0.5 lb)
Tureen (1 gp, 0.5 lb)
Twine (1 gp, 0.5 lb)
Vase (1 gp, 0.5 lb)
Vial (1 gp, 0.5 lb)
Washcloth (1 gp, 0.5 lb)
Whetstone (1 gp, 0.5 lb)
Wig (1 gp, 0.5 lb)
Wool (1 gp, 0.5 lb)
Yarn (1 gp, 0.5 lb)
