Shield (10 gp, 6 lb)
Splint Armor of Acid Resistance (6200 gp, 60 lb)
Ring Mail of Acid Resistance (6030 gp, 40 lb)
Plate Armor of Acid Resistance (7500 gp, 65 lb)
Chain Mail of Acid Resistance (6075 gp, 55 lb)
Studded Leather Armor of Cold Resistance (6045 gp, 13 lb)
Padded Armor of Cold Resistance (6005 gp, 8 lb)
Leather Armor of Cold Resistance (6010 gp, 10 lb)
Spiked Armor of Cold Resistance (6075 gp, 45 lb)
Scale Mail of Cold Resistance (6050 gp, 45 lb)
Hide Armor of Cold Resistance (6010 gp, 12 lb)
Half Plate Armor of Cold Resistance (6750 gp, 40 lb)
Chain Shirt of Cold Resistance (6050 gp, 20 lb)
Breastplate of Cold Resistance (6400 gp, 20 lb)
Splint Armor of Cold Resistance (6200 gp, 60 lb)
Ring Mail of Cold Resistance (6030 gp, 40 lb)
Plate Armor of Cold Resistance (7500 gp, 65 lb)
Chain Mail of Cold Resistance (6075 gp, 55 lb)
Studded Leather Armor of Fire Resistance (6045 gp, 13 lb)
Padded Armor of Fire Resistance (6005 gp, 8 lb)
Leather Armor of Fire Resistance (6010 gp, 10 lb)
Spiked Armor of Fire Resistance (6075 gp, 45 lb)
Scale Mail of Fire Resistance (6050 gp, 45 lb)
Hide Armor of Fire Resistance (6010 gp, 12 lb)
Half Plate Armor of Fire Resistance (6750 gp, 40 lb)
Chain Shirt of Fire Resistance (6050 gp, 20 lb)
Breastplate of Fire Resistance (6400 gp, 20 lb)
Splint Armor of Fire Resistance (6200 gp, 60 lb)
Ring Mail of Fire Resistance (6030 gp, 40 lb)
Plate Armor of Fire Resistance (7500 gp, 65 lb)
Chain Mail of Fire Resistance (6075 gp, 55 lb)
Padded Armor of Force Resistance (6005 gp, 8 lb)
Leather Armor of Force Resistance (6010 gp, 10 lb)
Spiked Armor of Force Resistance (6075 gp, 45 lb)
Scale Mail of Force Resistance (6050 gp, 45 lb)
Hide Armor of Force Resistance (6010 gp, 12 lb)
Half Plate Armor of Force Resistance (6750 gp, 40 lb)
Chain Shirt of Force Resistance (6050 gp, 20 lb)
Breastplate of Force Resistance (6400 gp, 20 lb)
Splint Armor of Force Resistance (6200 gp, 60 lb)
Ring Mail of Force Resistance (6030 gp, 40 lb)
Plate Armor of Force Resistance (7500 gp, 65 lb)
Chain Mail of Force Resistance (6075 gp, 55 lb)
Padded Armor of Lightning Resistance (6005 gp, 8 lb)
Leather Armor of Lightning Resistance (6010 gp, 10 lb)
Spiked Armor of Lightning Resistance (6075 gp, 45 lb)
Scale Mail of Lightning Resistance (6050 gp, 45 lb)
Hide Armor of Lightning Resistance (6010 gp, 12 lb)
Half Plate Armor of Lightning Resistance (6750 gp, 40 lb)
Chain Shirt of Lightning Resistance (6050 gp, 20 lb)
Breastplate of Lightning Resistance (6400 gp, 20 lb)
Splint Armor of Lightning Resistance (6200 gp, 60 lb)
Ring Mail of Lightning Resistance (6030 gp, 40 lb)
Plate Armor of Lightning Resistance (7500 gp, 65 lb)
Chain Mail of Lightning Resistance (6075 gp, 55 lb)
Padded Armor of Necrotic Resistance (6005 gp, 8 lb)
Leather Armor of Necrotic Resistance (6010 gp, 10 lb)
Spiked Armor of Necrotic Resistance (6075 gp, 45 lb)
Scale Mail of Necrotic Resistance (6050 gp, 45 lb)
Hide Armor of Necrotic Resistance (6010 gp, 12 lb)
Half Plate Armor of Necrotic Resistance (6750 gp, 40 lb)
Chain Shirt of Necrotic Resistance (6050 gp, 20 lb)
Breastplate of Necrotic Resistance (6400 gp, 20 lb)
Splint Armor of Necrotic Resistance (6200 gp, 60 lb)
Ring Mail of Necrotic Resistance (6030 gp, 40 lb)
Plate Armor of Necrotic Resistance (7500 gp, 65 lb)
Chain Mail of Necrotic Resistance (6075 gp, 55 lb)
Padded Armor of Poison Resistance (6005 gp, 8 lb)
Leather Armor of Poison Resistance (6010 gp, 10 lb)
Spiked Armor of Poison Resistance (6075 gp, 45 lb)
Scale Mail of Poison Resistance (6050 gp, 45 lb)
Hide Armor of Poison Resistance (6010 gp, 12 lb)
Half Plate Armor of Poison Resistance (6750 gp, 40 lb)
Chain Shirt of Poison Resistance (6050 gp, 20 lb)
Breastplate of Poison Resistance (6400 gp, 20 lb)
Splint Armor of Poison Resistance (6200 gp, 60 lb)
Ring Mail of Poison Resistance (6030 gp, 40 lb)
Plate Armor of Poison Resistance (7500 gp, 65 lb)
Chain Mail of Poison Resistance (6075 gp, 55 lb)
Padded Armor of Psychic Resistance (6005 gp, 8 lb)
Leather Armor of Psychic Resistance (6010 gp, 10 lb)
Spiked Armor of Psychic Resistance (6075 gp, 45 lb)
Scale Mail of Psychic Resistance (6050 gp, 45 lb)
Hide Armor of Psychic Resistance (6010 gp, 12 lb)
Half Plate Armor of Psychic Resistance (6750 gp, 40 lb)
Chain Shirt of Psychic Resistance (6050 gp, 20 lb)
Breastplate of Psychic Resistance (6400 gp, 20 lb)
Splint Armor of Psychic Resistance (6200 gp, 60 lb)
Ring Mail of Psychic Resistance (6030 gp, 40 lb)
Plate Armor of Psychic Resistance (7500 gp, 65 lb)
Chain Mail of Psychic Resistance (6075 gp, 55 lb)
Padded Armor of Radiant Resistance (6005 gp, 8 lb)
Leather Armor of Radiant Resistance (6010 gp, 10 lb)
Spiked Armor of Radiant Resistance (6075 gp, 45 lb)
Scale Mail of Radiant Resistance (6050 gp, 45 lb)
Hide Armor of Radiant Resistance (6010 gp, 12 lb)
Half Plate Armor of Radiant Resistance (6750 gp, 40 lb)
Chain Shirt of Radiant Resistance (6050 gp, 20 lb)
Breastplate of Radiant Resistance (6400 gp, 20 lb)
Splint Armor of Radiant Resistance (6200 gp, 60 lb)
Ring Mail of Radiant Resistance (6030 gp, 40 lb)
Plate Armor of Radiant Resistance (7500 gp, 65 lb)
Chain Mail of Radiant Resistance (6075 gp, 55 lb)
Padded Armor of Thunder Resistance (6005 gp, 8 lb)
Leather Armor of Thunder Resistance (6010 gp, 10 lb)
Spiked Armor of Thunder Resistance (6075 gp, 45 lb)
Scale Mail of Thunder Resistance (6050 gp, 45 lb)
Hide Armor of Thunder Resistance (6010 gp, 12 lb)
Half Plate Armor of Thunder Resistance (6750 gp, 40 lb)
Chain Shirt of Thunder Resistance (6050 gp, 20 lb)
Breastplate of Thunder Resistance (6400 gp, 20 lb)
Splint Armor of Thunder Resistance (6200 gp, 60 lb)
Ring Mail of Thunder Resistance (6030 gp, 40 lb)
Plate Armor of Thunder Resistance (7500 gp, 65 lb)
Chain Mail of Thunder Resistance (6075 gp, 55 lb)
Smoldering Padded Armor (105 gp, 8 lb)
Smoldering Leather Armor (110 gp, 10 lb)
Smoldering Spiked Armor (175 gp, 45 lb)
Smoldering Scale Mail (150 gp, 45 lb)
Smoldering Hide Armor (110 gp, 12 lb)
Smoldering Half Plate Armor (850 gp, 40 lb)
Smoldering Chain Shirt (150 gp, 20 lb)
Smoldering Breastplate (400 gp, 20 lb)
Smoldering Splint Armor (300 gp, 60 lb)
Smoldering Ring Mail (130 gp, 40 lb)
Smoldering Plate Armor (1600 gp, 65 lb)
Smoldering Chain Mail (175 gp, 55 lb)
Cast-off Padded Armor (505 gp, 8 lb)
Cast-off Leather Armor (510 gp, 10 lb)
Cast-off Spiked Armor (575 gp, 45 lb)
Cast-off Scale Mail (550 gp, 45 lb)
Cast-off Hide Armor (510 gp, 12 lb)
Cast-off Half Plate Armor (1250 gp, 40 lb)
Cast-off Chain Shirt (550 gp, 20 lb)
Cast-off Breastplate (800 gp, 20 lb)
Cast-off Splint Armor (700 gp, 60 lb)
Cast-off Ring Mail (530 gp, 40 lb)
Cast-off Plate Armor (2000 gp, 65 lb)
Cast-off Chain Mail (575 gp, 55 lb)
Mind Carapace Splint Armor (700 gp, 60 lb)
Mind Carapace Ring Mail (530 gp, 40 lb)
Mind Carapace Plate Armor (2000 gp, 65 lb)
Mind Carapace Chain Mail (575 gp, 55 lb)
Mariner's Padded Armor (1505 gp, 8 lb)
Mariner's Leather Armor (1510 gp, 10 lb)
Mariner's Spiked Armor (1575 gp, 45 lb)
Mariner's Scale Mail (1550 gp, 45 lb)
Mariner's Hide Armor (1510 gp, 12 lb)
Mariner's Half Plate Armor (2250 gp, 40 lb)
Mariner's Chain Shirt (1550 gp, 20 lb)
Mariner's Breastplate (1800 gp, 20 lb)
Mariner's Splint Armor (1700 gp, 60 lb)
Mariner's Ring Mail (1530 gp, 40 lb)
Mariner's Plate Armor (3000 gp, 65 lb)
Mariner's Chain Mail (1575 gp, 55 lb)
