+1 Sling Bullets (20) (500 gp, 1.5 lb)
Walloping Crossbow Bolt (10 gp, 0.075 lb)
Walloping Blowgun Needles (50) (500 gp, 1 lb)
Walloping Blowgun Needle (10 gp, 0.02 lb)
Walloping Arrows (20) (200 gp, 1 lb)
Walloping Arrow (10 gp, 0.05 lb)
+1 Shield (1510 gp, 6 lb)
+2 Shield (6010 gp, 6 lb)
+3 Shield (24010 gp, 6 lb)
Animated Shield (6000 gp, 6 lb)
Arrow-Catching Shield (6000 gp, 6 lb)
Pariah's Shield (5000 gp, 6 lb)
Sentinel Shield (20000 gp, 6 lb)
Shield of Expression (100 gp, 6 lb)
Shield of Far Sight (5000 gp, 6 lb)
Shield of Missile Attraction (6000 gp, 6 lb)
Shield of the Uven Rune (50000 gp, 6 lb)
Silver Dragon Shield +2 (5000 gp, 6 lb)
Spellguard Shield (50000 gp, 6 lb)
Shield of the Hidden Lord (100000 gp, 6 lb)
+1 Padded Armor (1505 gp, 8 lb)
+1 Leather Armor (1510 gp, 10 lb)
+1 Spiked Armor (1575 gp, 45 lb)
+1 Scale Mail (1550 gp, 45 lb)
+1 Hide Armor (1510 gp, 12 lb)
+1 Half Plate Armor (2250 gp, 40 lb)
+1 Chain Shirt (1550 gp, 20 lb)
+1 Breastplate (1800 gp, 20 lb)
+1 Splint Armor (1700 gp, 60 lb)
+1 Ring Mail (1530 gp, 40 lb)
+1 Plate Armor (3000 gp, 65 lb)
+1 Chain Mail (1575 gp, 55 lb)
+2 Padded Armor (6005 gp, 8 lb)
+2 Leather Armor (6010 gp, 10 lb)
+2 Spiked Armor (6075 gp, 45 lb)
+2 Scale Mail (6050 gp, 45 lb)
+2 Hide Armor (6010 gp, 12 lb)
+2 Half Plate Armor (6750 gp, 40 lb)
+2 Chain Shirt (6050 gp, 20 lb)
+2 Breastplate (6300 gp, 20 lb)
+2 Splint Armor (6200 gp, 60 lb)
+2 Ring Mail (6030 gp, 40 lb)
+2 Plate Armor (7500 gp, 65 lb)
+2 Chain Mail (6075 gp, 55 lb)
+3 Padded Armor (24005 gp, 8 lb)
+3 Leather Armor (24010 gp, 10 lb)
+3 Spiked Armor (24075 gp, 45 lb)
+3 Scale Mail (24050 gp, 45 lb)
+3 Hide Armor (24010 gp, 12 lb)
+3 Half Plate Armor (24750 gp, 40 lb)
+3 Chain Shirt (24050 gp, 20 lb)
+3 Breastplate (24300 gp, 20 lb)
+3 Splint Armor (24200 gp, 60 lb)
+3 Ring Mail (24030 gp, 40 lb)
+3 Plate Armor (25500 gp, 65 lb)
+3 Chain Mail (24075 gp, 55 lb)
Adamantine Spiked Armor (575 gp, 45 lb)
Adamantine Scale Mail (550 gp, 45 lb)
Adamantine Half Plate Armor (1250 gp, 40 lb)
Adamantine Chain Shirt (550 gp, 20 lb)
Adamantine Breastplate (900 gp, 20 lb)
Adamantine Splint Armor (700 gp, 60 lb)
Adamantine Ring Mail (530 gp, 40 lb)
Adamantine Plate Armor (2000 gp, 65 lb)
Adamantine Chain Mail (575 gp, 55 lb)
Mithral Spiked Armor (875 gp, 45 lb)
Mithral Scale Mail (850 gp, 45 lb)
Mithral Hide Armor (810 gp, 12 lb)
Mithral Half Plate Armor (1550 gp, 40 lb)
Mithral Chain Shirt (850 gp, 20 lb)
Mithral Breastplate (1200 gp, 20 lb)
Mithral Splint Armor (1000 gp, 60 lb)
Mithral Ring Mail (830 gp, 40 lb)
Mithral Plate Armor (2300 gp, 65 lb)
Mithral Chain Mail (875 gp, 55 lb)
Dwarven Plate (9000 gp, 65 lb)
Obsidian Flint Dragon Plate (100000 gp, 65 lb)
Demon Armor (50000 gp, 65 lb)
Efreeti Chain (100000 gp, 55 lb)
Plate Armor of Etherealness (48000 gp, 65 lb)
Powered Armor (100000 gp, 65 lb)
Scorpion Armor (5000 gp, 65 lb)
Glamoured Studded Leather (2000 gp, 13 lb)
Heward's Hireling Armor (50000 gp, 10 lb)
Leather Golem Armor (5000 gp, 10 lb)
Elven Chain (500 gp, 20 lb)
Survival Mantle (100000 gp, 40 lb)
Dragonguard (500 gp, 20 lb)
Black Dragon Scale Mail (4000 gp, 45 lb)
Blue Dragon Scale Mail (4000 gp, 45 lb)
Brass Dragon Scale Mail (4000 gp, 45 lb)
Bronze Dragon Scale Mail (4000 gp, 45 lb)
Copper Dragon Scale Mail (4000 gp, 45 lb)
Gold Dragon Scale Mail (4000 gp, 45 lb)
Green Dragon Scale Mail (4000 gp, 45 lb)
Red Dragon Scale Mail (4000 gp, 45 lb)
Silver Dragon Scale Mail (4000 gp, 45 lb)
White Dragon Scale Mail (4000 gp, 45 lb)
Plate Armor of Vulnerability (Bludgeoning) (5000 gp, 65 lb)
Plate Armor of Vulnerability (Piercing) (5000 gp, 65 lb)
Plate Armor of Vulnerability (Slashing) (5000 gp, 65 lb)
Plate Armor of Invulnerability (19500 gp, 65 lb)
Studded Leather Armor of Acid Resistance (6045 gp, 13 lb)
Padded Armor of Acid Resistance (6005 gp, 8 lb)
Leather Armor of Acid Resistance (6010 gp, 10 lb)
Spiked Armor of Acid Resistance (6075 gp, 45 lb)
Scale Mail of Acid Resistance (6050 gp, 45 lb)
Hide Armor of Acid Resistance (6010 gp, 12 lb)
Half Plate Armor of Acid Resistance (6750 gp, 40 lb)
Chain Shirt of Acid Resistance (6050 gp, 20 lb)
Breastplate of Acid Resistance (6400 gp, 20 lb)
Splint Armor of Acid Resistance (6200 gp, 60 lb)
Ring Mail of Acid Resistance (6030 gp, 40 lb)
Plate Armor of Acid Resistance (7500 gp, 65 lb)
Chain Mail of Acid Resistance (6075 gp, 55 lb)
Studded Leather Armor of Cold Resistance (6045 gp, 13 lb)
Padded Armor of Cold Resistance (6005 gp, 8 lb)
Leather Armor of Cold Resistance (6010 gp, 10 lb)
Spiked Armor of Cold Resistance (6075 gp, 45 lb)
Scale Mail of Cold Resistance (6050 gp, 45 lb)
Hide Armor of Cold Resistance (6010 gp, 12 lb)
Half Plate Armor of Cold Resistance (6750 gp, 40 lb)
Chain Shirt of Cold Resistance (6050 gp, 20 lb)
Breastplate of Cold Resistance (6400 gp, 20 lb)
Splint Armor of Cold Resistance (6200 gp, 60 lb)
Ring Mail of Cold Resistance (6030 gp, 40 lb)
Plate Armor of Cold Resistance (7500 gp, 65 lb)
Chain Mail of Cold Resistance (6075 gp, 55 lb)
Studded Leather Armor of Fire Resistance (6045 gp, 13 lb)
Padded Armor of Fire Resistance (6005 gp, 8 lb)
Leather Armor of Fire Resistance (6010 gp, 10 lb)
Spiked Armor of Fire Resistance (6075 gp, 45 lb)
Scale Mail of Fire Resistance (6050 gp, 45 lb)
Hide Armor of Fire Resistance (6010 gp, 12 lb)
Half Plate Armor of Fire Resistance (6750 gp, 40 lb)
Chain Shirt of Fire Resistance (6050 gp, 20 lb)
Breastplate of Fire Resistance (6400 gp, 20 lb)
Splint Armor of Fire Resistance (6200 gp, 60 lb)
Ring Mail of Fire Resistance (6030 gp, 40 lb)
Plate Armor of Fire Resistance (7500 gp, 65 lb)
Chain Mail of Fire Resistance (6075 gp, 55 lb)
Padded Armor of Force Resistance (6005 gp, 8 lb)
Leather Armor of Force Resistance (6010 gp, 10 lb)
Spiked Armor of Force Resistance (6075 gp, 45 lb)
Scale Mail of Force Resistance (6050 gp, 45 lb)
Hide Armor of Force Resistance (6010 gp, 12 lb)
Half Plate Armor of Force Resistance (6750 gp, 40 lb)
Chain Shirt of Force Resistance (6050 gp, 20 lb)
Breastplate of Force Resistance (6400 gp, 20 lb)
Splint Armor of Force Resistance (6200 gp, 60 lb)
Ring Mail of Force Resistance (6030 gp, 40 lb)
Plate Armor of Force Resistance (7500 gp, 65 lb)
Chain Mail of Force Resistance (6075 gp, 55 lb)
Padded Armor of Lightning Resistance (6005 gp, 8 lb)
Leather Armor of Lightning Resistance (6010 gp, 10 lb)
Spiked Armor of Lightning Resistance (6075 gp, 45 lb)
Scale Mail of Lightning Resistance (6050 gp, 45 lb)
Hide Armor of Lightning Resistance (6010 gp, 12 lb)
Half Plate Armor of Lightning Resistance (6750 gp, 40 lb)
Chain Shirt of Lightning Resistance (6050 gp, 20 lb)
Breastplate of Lightning Resistance (6400 gp, 20 lb)
Splint Armor of Lightning Resistance (6200 gp, 60 lb)
Ring Mail of Lightning Resistance (6030 gp, 40 lb)
Plate Armor of Lightning Resistance (7500 gp, 65 lb)
Chain Mail of Lightning Resistance (6075 gp, 55 lb)
Padded Armor of Necrotic Resistance (6005 gp, 8 lb)
Leather Armor of Necrotic Resistance (6010 gp, 10 lb)
Spiked Armor of Necrotic Resistance (6075 gp, 45 lb)
Scale Mail of Necrotic Resistance (6050 gp, 45 lb)
Hide Armor of Necrotic Resistance (6010 gp, 12 lb)
Half Plate Armor of Necrotic Resistance (6750 gp, 40 lb)
Chain Shirt of Necrotic Resistance (6050 gp, 20 lb)
Breastplate of Necrotic Resistance (6400 gp, 20 lb)
Splint Armor of Necrotic Resistance (6200 gp, 60 lb)
Ring Mail of Necrotic Resistance (6030 gp, 40 lb)
Plate Armor of Necrotic Resistance (7500 gp, 65 lb)
Chain Mail of Necrotic Resistance (6075 gp, 55 lb)
Padded Armor of Poison Resistance (6005 gp, 8 lb)
Leather Armor of Poison Resistance (6010 gp, 10 lb)
Spiked Armor of Poison Resistance (6075 gp, 45 lb)
Scale Mail of Poison Resistance (6050 gp, 45 lb)
Hide Armor of Poison Resistance (6010 gp, 12 lb)
Half Plate Armor of Poison Resistance (6750 gp, 40 lb)
Chain Shirt of Poison Resistance (6050 gp, 20 lb)
Breastplate of Poison Resistance (6400 gp, 20 lb)
Splint Armor of Poison Resistance (6200 gp, 60 lb)
Ring Mail of Poison Resistance (6030 gp, 40 lb)
Plate Armor of Poison Resistance (7500 gp, 65 lb)
Chain Mail of Poison Resistance (6075 gp, 55 lb)
Padded Armor of Psychic Resistance (6005 gp, 8 lb)
Leather Armor of Psychic Resistance (6010 gp, 10 lb)
Spiked Armor of Psychic Resistance (6075 gp, 45 lb)
Scale Mail of Psychic Resistance (6050 gp, 45 lb)
Hide Armor of Psychic Resistance (6010 gp, 12 lb)
Half Plate Armor of Psychic Resistance (6750 gp, 40 lb)
Chain Shirt of Psychic Resistance (6050 gp, 20 lb)
Breastplate of Psychic Resistance (6400 gp, 20 lb)
Splint Armor of Psychic Resistance (6200 gp, 60 lb)
Ring Mail of Psychic Resistance (6030 gp, 40 lb)
Plate Armor of Psychic Resistance (7500 gp, 65 lb)
Chain Mail of Psychic Resistance (6075 gp, 55 lb)
Padded Armor of Radiant Resistance (6005 gp, 8 lb)
Leather Armor of Radiant Resistance (6010 gp, 10 lb)
Spiked Armor of Radiant Resistance (6075 gp, 45 lb)
Scale Mail of Radiant Resistance (6050 gp, 45 lb)
Hide Armor of Radiant Resistance (6010 gp, 12 lb)
Half Plate Armor of Radiant Resistance (6750 gp, 40 lb)
Chain Shirt of Radiant Resistance (6050 gp, 20 lb)
Breastplate of Radiant Resistance (6400 gp, 20 lb)
Splint Armor of Radiant Resistance (6200 gp, 60 lb)
Ring Mail of Radiant Resistance (6030 gp, 40 lb)
Plate Armor of Radiant Resistance (7500 gp, 65 lb)
Chain Mail of Radiant Resistance (6075 gp, 55 lb)
Padded Armor of Thunder Resistance (6005 gp, 8 lb)
Leather Armor of Thunder Resistance (6010 gp, 10 lb)
Spiked Armor of Thunder Resistance (6075 gp, 45 lb)
Scale Mail of Thunder Resistance (6050 gp, 45 lb)
Hide Armor of Thunder Resistance (6010 gp, 12 lb)
Half Plate Armor of Thunder Resistance (6750 gp, 40 lb)
Chain Shirt of Thunder Resistance (6050 gp, 20 lb)
Breastplate of Thunder Resistance (6400 gp, 20 lb)
Splint Armor of Thunder Resistance (6200 gp, 60 lb)
Ring Mail of Thunder Resistance (6030 gp, 40 lb)
Plate Armor of Thunder Resistance (7500 gp, 65 lb)
Chain Mail of Thunder Resistance (6075 gp, 55 lb)
Smoldering Padded Armor (105 gp, 8 lb)
Smoldering Leather Armor (110 gp, 10 lb)
Smoldering Spiked Armor (175 gp, 45 lb)
Smoldering Scale Mail (150 gp, 45 lb)
Smoldering Hide Armor (110 gp, 12 lb)
Smoldering Half Plate Armor (850 gp, 40 lb)
Smoldering Chain Shirt (150 gp, 20 lb)
Smoldering Breastplate (400 gp, 20 lb)
Smoldering Splint Armor (300 gp, 60 lb)
Smoldering Ring Mail (130 gp, 40 lb)
Smoldering Plate Armor (1600 gp, 65 lb)
Smoldering Chain Mail (175 gp, 55 lb)
Cast-off Padded Armor (505 gp, 8 lb)
Cast-off Leather Armor (510 gp, 10 lb)
Cast-off Spiked Armor (575 gp, 45 lb)
Cast-off Scale Mail (550 gp, 45 lb)
Cast-off Hide Armor (510 gp, 12 lb)
Cast-off Half Plate Armor (1250 gp, 40 lb)
Cast-off Chain Shirt (550 gp, 20 lb)
Cast-off Breastplate (800 gp, 20 lb)
Cast-off Splint Armor (700 gp, 60 lb)
Cast-off Ring Mail (530 gp, 40 lb)
Cast-off Plate Armor (2000 gp, 65 lb)
Cast-off Chain Mail (575 gp, 55 lb)
Mind Carapace Splint Armor (700 gp, 60 lb)
Mind Carapace Ring Mail (530 gp, 40 lb)
Mind Carapace Plate Armor (2000 gp, 65 lb)
Mind Carapace Chain Mail (575 gp, 55 lb)
Mariner's Padded Armor (1505 gp, 8 lb)
Mariner's Leather Armor (1510 gp, 10 lb)
Mariner's Spiked Armor (1575 gp, 45 lb)
Mariner's Scale Mail (1550 gp, 45 lb)
Mariner's Hide Armor (1510 gp, 12 lb)
Mariner's Half Plate Armor (2250 gp, 40 lb)
Mariner's Chain Shirt (1550 gp, 20 lb)
Mariner's Breastplate (1800 gp, 20 lb)
Mariner's Splint Armor (1700 gp, 60 lb)
Mariner's Ring Mail (1530 gp, 40 lb)
Mariner's Plate Armor (3000 gp, 65 lb)
Mariner's Chain Mail (1575 gp, 55 lb)
+1 Quarterstaff (1000 gp, 4 lb)
+2 Quarterstaff (4000 gp, 4 lb)
+3 Quarterstaff (16000 gp, 4 lb)
Wand of Binding (10000 gp, 1 lb)
Wand of Conducting (500 gp, 0.1 lb)
Wand of Enemy Detection (4000 gp, 1 lb)
Wand of Entangle (4000 gp, 1 lb)
Wand of Fear (10000 gp, 1 lb)
Wand of Fireballs (32000 gp, 1 lb)
Wand of Lightning Bolts (32000 gp, 1 lb)
Wand of Magic Detection (1500 gp, 1 lb)
Wand of Magic Missiles (8000 gp, 1 lb)
Wand of Paralysis (16000 gp, 1 lb)
Wand of Polymorph (32000 gp, 1 lb)
Wand of Pyrotechnics (500 gp, 0.1 lb)
Wand of Scowls Wand (500 gp, 0.1 lb)
Wand of Secrets (1500 gp, 1 lb)
Wand of Smiles (500 gp, 0.1 lb)
Wand of the War Mage, +1 (1200 gp, 1 lb)
Wand of the War Mage, +2 (4800 gp, 1 lb)
Wand of the War Mage, +3 (19200 gp, 1 lb)
Wand of Viscid Globs (4000 gp, 0.1 lb)
Wand of Web (8000 gp, 1 lb)
Wand of Winter (32000, 0.1 lb)
Wand of Wonder (16000 1 lb)
Immovable Rod (5000 gp, 2 lb)
Rod of Absorption (50000 gp, 2 lb)
Rod of Alertness (25000 gp, 2 lb)
Rod of Lordly Might (28000 gp, 2 lb)
Rod of Resurrection (100000 gp, 2 lb)
Rod of Rulership (16000 gp, 2 lb)
Rod of Security (90000 gp, 2 lb)
Rod of the Pact Keeper +1 (12000 gp, 2 lb)
Rod of the Pact Keeper +2 (16000 gp, 2 lb)
Rod of the Pact Keeper +3 (28000 gp, 2 lb)
Rod of the Vonindod (5000 gp, 0.5 lb)
Tentacle Rod (5000 gp, 2 lb)
Blast Scepter (50000 gp, 0.5 lb)
Vicious Quarterstaff (350 gp, 4 lb)
Quarterstaff of Warning (60000 gp, 4 lb)
Skyblinder Staff (10000 gp, 4 lb)
Spider Staff (15000 gp, 6 lb)
Staff of Adornment (500 gp, 0.1 lb)
Staff of Birdcalls (500 gp, 0.1 lb)
Staff of Charming (12000 gp, 4 lb)
Staff of Defense (15000 gp, 3 lb)
Staff of Fire (16000 gp, 4 lb)
Staff of Flowers (0.1 lb)
Staff of Frost (26000 gp, 4 lb)
Staff of Healing (13000 gp, 4 lb)
Staff of Power (95500 gp, 4 lb)
Staff of Striking (21000 gp, 4 lb)
Staff of Swarming Insects (16000 gp, 4 lb)
Staff of the Adder (1800 gp, 4 lb)
Staff of the Python (2000 gp, 4 lb)
Staff of the Woodlands (44000 gp, 4 lb)
Staff of Thunder and Lightning (10000 gp, 4 lb)
Staff of Withering (3000 gp, 4 lb)
Voyager Staff (44000 gp, 4 lb)
Staff of the Magi (100000 gp, 4 lb)
Blackstaff (100000 gp, 4 lb)
Dragonstaff of Ahghairon (100000 gp, 0.5 lb)
Gulthias Staff (100000 gp, 4 lb)
Staff of the Forgotten One (100000 gp, 4 lb)
+1 Yklwa (1001 gp, 3 lb)
+1 Spear (1001 gp, 3 lb)
+1 Sickle (1001 gp, 2 lb)
+1 Mace (1005 gp, 4 lb)
+1 Light Hammer (1002 gp, 2 lb)
+1 Javelin (1000 gp, 2 lb)
+1 Handaxe (1005 gp, 2 lb)
+1 Greatclub (1000 gp, 10 lb)
+1 Dagger (1002 gp, 1 lb)
+1 Club (1000 gp, 2 lb)
+1 Whip (1002 gp, 3 lb)
+1 Warhammer (1015 gp, 2 lb)
+1 War Pick (1005 gp, 2 lb)
+1 Trident (1005 gp, 4 lb)
+1 Shortsword (1010 gp, 2 lb)
+1 Scimitar (1025 gp, 3 lb)
+1 Rapier (1025 gp, 2 lb)
+1 Pike (1005 gp, 18 lb)
+1 Morningstar (1015 gp, 4 lb)
+1 Maul (1010 gp, 10 lb)
+1 Longsword (1015 gp, 3 lb)
+1 Lance (1010 gp, 6 lb)
+1 Halberd (1020 gp, 6 lb)
+1 Greatsword (1050 gp, 6 lb)
+1 Greataxe (1030 gp, 7 lb)
+1 Glaive (1020 gp, 6 lb)
+1 Flail (1010 gp, 2 lb)
+1 Double-Bladed Scimitar (1100 gp, 6 lb)
+1 Battleaxe (1010 gp, 4 lb)
+2 Yklwa (4001 gp, 3 lb)
+2 Spear (4001 gp, 3 lb)
+2 Sickle (4001 gp, 2 lb)
+2 Mace (4005 gp, 4 lb)
+2 Light Hammer (4002 gp, 2 lb)
+2 Javelin (4000 gp, 2 lb)
+2 Handaxe (4005 gp, 2 lb)
+2 Greatclub (4000 gp, 10 lb)
+2 Dagger (4002 gp, 1 lb)
+2 Club (4000 gp, 2 lb)
+2 Whip (4002 gp, 3 lb)
+2 Warhammer (4015 gp, 2 lb)
+2 War Pick (4005 gp, 2 lb)
+2 Trident (4005 gp, 4 lb)
+2 Shortsword (4010 gp, 2 lb)
+2 Scimitar (4025 gp, 3 lb)
+2 Rapier (4025 gp, 2 lb)
+2 Pike (4005 gp, 18 lb)
+2 Morningstar (4015 gp, 4 lb)
+2 Maul (4010 gp, 10 lb)
+2 Longsword (4015 gp, 3 lb)
+2 Lance (4010 gp, 6 lb)
+2 Halberd (4020 gp, 6 lb)
+2 Greatsword (4050 gp, 6 lb)
+2 Greataxe (4030 gp, 7 lb)
+2 Glaive (4020 gp, 6 lb)
+2 Flail (4010 gp, 2 lb)
+2 Double-Bladed Scimitar (4100 gp, 6 lb)
+2 Battleaxe (4010 gp, 4 lb)
+3 Yklwa (16001 gp, 3 lb)
+3 Spear (16001 gp, 3 lb)
+3 Sickle (16001 gp, 2 lb)
+3 Mace (16005 gp, 4 lb)
+3 Light Hammer (16002 gp, 2 lb)
+3 Javelin (16000 gp, 2 lb)
+3 Handaxe (16005 gp, 2 lb)
+3 Greatclub (416000 gp, 10 lb)
+3 Dagger (16002 gp, 1 lb)
+3 Club (16000 gp, 2 lb)
+3 Whip (16002 gp, 3 lb)
+3 Warhammer (16015 gp, 2 lb)
+3 War Pick (16005 gp, 2 lb)
+3 Trident (16005 gp, 4 lb)
+3 Shortsword (16010 gp, 2 lb)
+3 Scimitar (16025 gp, 3 lb)
+3 Rapier (16025 gp, 2 lb)
+3 Pike (16005 gp, 18 lb)
+3 Morningstar (16015 gp, 4 lb)
+3 Maul (16010 gp, 10 lb)
+3 Longsword (16015 gp, 3 lb)
+3 Lance (16010 gp, 6 lb)
+3 Halberd (16020 gp, 6 lb)
+3 Greatsword (16050 gp, 6 lb)
+3 Greataxe (16030 gp, 7 lb)
+3 Glaive (16020 gp, 6 lb)
+3 Flail (16010 gp, 2 lb)
+3 Double-Bladed Scimitar (16100 gp, 6 lb)
+3 Battleaxe (16010 gp, 4 lb)
Mind Blade Shortsword (510 gp, 2 lb)
Mind Blade Scimitar (525 gp, 3 lb)
Mind Blade Rapier (525 gp, 2 lb)
Mind Blade Longsword (515 gp, 3 lb)
Mind Blade Greatsword (550 gp, 6 lb)
Mind Blade Double-Bladed Scimitar (600 gp, 6 lb)
Polymorph Blade Shortsword (16010 gp, 2 lb)
Polymorph Blade Scimitar (16025 gp, 3 lb)
Polymorph Blade Rapier (16025 gp, 2 lb)
Polymorph Blade Longsword (16015 gp, 3 lb)
Polymorph Blade Greatsword (16050 gp, 6 lb)
Polymorph Blade Double-Bladed Scimitar (16100 gp, 6 lb)
Shortsword of Sharpness (1710 gp, 2 lb)
Scimitar of Sharpness (1725 gp, 3 lb)
Rapier of Sharpness (1725 gp, 2 lb)
Longsword of Sharpness (1715 gp, 3 lb)
Greatsword of Sharpness (1750 gp, 6 lb)
Double-Bladed Scimitar of Sharpness (1800 gp, 6 lb)
Shortsword of Vengeance (510 gp, 2 lb)
Scimitar of Vengeance (525 gp, 3 lb)
Rapier of Vengeance (525 gp, 2 lb)
Longsword of Vengeance (515 gp, 3 lb)
Greatsword of Vengeance (550 gp, 6 lb)
Double-Bladed Scimitar of Vengeance (600 gp, 6 lb)
Shortsword of Life Stealing (1010 gp, 2 lb)
Scimitar of Life Stealing (1025 gp, 3 lb)
Rapier of Life Stealing (1025 gp, 2 lb)
Longsword of Life Stealing (1015 gp, 3 lb)
Greatsword of Life Stealing (1050 gp, 6 lb)
Double-Bladed Scimitar of Life Stealing (1100 gp, 6 lb)
Nine Lives Stealer Shortsword (8010 gp, 2 lb)
Nine Lives Stealer Scimitar (8025 gp, 3 lb)
Nine Lives Stealer Rapier (8025 gp, 2 lb)
Nine Lives Stealer Longsword (8015 gp, 3 lb)
Nine Lives Stealer Greatsword (8050 gp, 6 lb)
Nine Lives Stealer Double-Bladed Scimitar (8100 gp, 6 lb)
Vorpal Shortsword (24010 gp, 2 lb)
Vorpal Scimitar (24025 gp, 3 lb)
Vorpal Rapier (24025 gp, 2 lb)
Vorpal Longsword (24015 gp, 3 lb)
Vorpal Greatsword (24050 gp, 6 lb)
Vorpal Double-Bladed Scimitar (24100 gp, 6 lb)
Shortsword of Wounding (2010 gp, 2 lb)
Scimitar of Wounding (2025 gp, 3 lb)
Rapier of Wounding (2025 gp, 2 lb)
Longsword of Wounding (2015 gp, 3 lb)
Greatsword of Wounding (2050 gp, 6 lb)
Double-Bladed Scimitar of Wounding (2100 gp, 6 lb)
Shortsword of the Medusa (5010 gp, 2 lb)
Scimitar of the Medusa (5025 gp, 3 lb)
Rapier of the Medusa (5025 gp, 2 lb)
Longsword of the Medusa (5015 gp, 3 lb)
Greatsword of the Medusa (5050 gp, 6 lb)
Double-Bladed Scimitar of the Medusa (5100 gp, 6 lb)
Giant Slayer Shortsword (7010 gp, 2 lb)
Giant Slayer Scimitar (7025 gp, 3 lb)
Giant Slayer Rapier (7025 gp, 2 lb)
Giant Slayer Longsword (7015 gp, 3 lb)
Giant Slayer Greatsword (7050 gp, 6 lb)
Giant Slayer Double-Bladed Scimitar (7100 gp, 6 lb)
Dragon Slayer Shortsword (8010 gp, 2 lb)
Dragon Slayer Scimitar (8025 gp, 3 lb)
Dragon Slayer Rapier (8025 gp, 2 lb)
Dragon Slayer Longsword (8015 gp, 3 lb)
Dragon Slayer Greatsword (8050 gp, 6 lb)
Dragon Slayer Double-Bladed Scimitar (8100 gp, 6 lb)
Gambler's Shortsword (4010 gp, 2 lb)
Gambler's Scimitar (4025 gp, 3 lb)
Gambler's Rapier (4025 gp, 2 lb)
Gambler's Longsword (4015 gp, 3 lb)
Gambler's Greatsword (4050 gp, 6 lb)
Gambler's Double-Bladed Scimitar (4100 gp, 6 lb)
Dancing Shortsword (2010 gp, 2 lb)
Dancing Scimitar (2025 gp, 3 lb)
Dancing Rapier (2025 gp, 2 lb)
Dancing Longsword (2015 gp, 3 lb)
Dancing Greatsword (2050 gp, 6 lb)
Dancing Double-Bladed Scimitar (2100 gp, 6 lb)
Hellfire Yklwa (501 gp, 3 lb)
Hellfire Spear (501 gp, 3 lb)
Hellfire Sickle (501 gp, 2 lb)
Hellfire Mace (505 gp, 4 lb)
Hellfire Light Hammer (502 gp, 2 lb)
Hellfire Javelin (500 gp, 2 lb)
Hellfire Handaxe (505 gp, 2 lb)
Hellfire Greatclub (500 gp, 10 lb)
Hellfire Dagger (502 gp, 1 lb)
Hellfire Club (500 gp, 2 lb)
Hellfire Whip (502 gp, 3 lb)
Hellfire Warhammer (515 gp, 2 lb)
Hellfire War Pick (505 gp, 2 lb)
Hellfire Trident (505 gp, 4 lb)
Hellfire Shortsword (510 gp, 2 lb)
Hellfire Scimitar (525 gp, 3 lb)
Hellfire Rapier (525 gp, 2 lb)
Hellfire Pike (505 gp, 18 lb)
Hellfire Morningstar (365 gp, 4 lb)
Hellfire Maul (510 gp, 10 lb)
Hellfire Longsword (515 gp, 3 lb)
Hellfire Lance (510 gp, 6 lb)
Hellfire Halberd (520 gp, 6 lb)
Hellfire Greatsword (600 gp, 6 lb)
Hellfire Greataxe (530 gp, 7 lb)
Hellfire Glaive (520 gp, 6 lb)
Hellfire Flail (510 gp, 2 lb)
Hellfire Double-Bladed Scimitar (600 gp, 6 lb)
