Zircon (50 gp, 0.1 lb)
Jade breastplate (7,500 gp, 0.1 lb)
Jade bowl (250 gp, 0.1 lb)
Jade (100 gp, 0.1 lb)
Jacinth (5000 gp, 0.1 lb)
Hematite (10 gp, 0.1 lb)
Crescent coin (5 pp 0.1 lb)
Gold-plated sextant with topaz (750 gp, 0.1 lb)
Gold-plated ceremonial helmet and pauldrons (2500 gp, 0.1 lb)
Gold coin with person's head (1 gp, 0.1 lb)
Gold ring with turquoise (25 gp, 0.1 lb)
Gold ring set with bloodstones (250 gp, 0.1 lb)
Gold pendant with black onyx (250 gp, 0.1 lb)
Gold music box (2,500 gp, 0.1 lb)
Gold music box (2500 gp, 0.1 lb)
Gold locket with a painted portrait inside (25gp, 0.1 lb)
Gold locket with a painted portrait inside (25 gp, 0.1 lb)
Gold jewelry box with platinum filigree (7,500 gp, 0.1 lb)
Gold jewelry box with platinum filigree (7500 gp, 0.1 lb)
Gold dragon comb set with red garnets as eyes (750 gp, 0.1 lb)
Gold cup set with emeralds (7500 gp, 0.1 lb)
Gold circlet set with four aquamarines (2500 gp, 0.1 lb)
Gold chalice set with emeralds (7500 gp, 0.1 lb)
Gold chalice (750 gp, 0.1 lb)
Gold bird cage with electrum filigree (250 gp, 0.1 lb)
Gold basin with rubies (7500 gp, 0.1 lb)
Big gold coin (5 gp, 0.1 lb)
Gold (gp) (1 gp, 0.02 lb)
Garnet (100 gp, 0.1 lb)
Fire Opal (1000 gp, 0.1 lb)
Finely articulated jade glove (2500 gp, 0.1 lb)
Fine steel rapier with gold filigree hilt (750 gp, 0.1 lb)
Fine robe with dinosaur feathers and silver embroidery (250 gp, 0.1 lb)
Fine gold chain with fire opals (2500 gp, 0.1 lb)
Fine gold chain set with a fire opal (2500 gp, 0.1 lb)
Feathered mantle with emerald clasp (2500 gp, 0.1 lb)
Eye patch with a mock eye set in blue sapphire and moonstone (2500 gp, 0.1 lb)
Eye patch with a mock eye set in blue sapphire and moonstone (2500 gp, 0.1 lb)
Eye Agate (10 gp, 0.1 lb)
Emerald (1000 gp, 0.1 lb)
Embroidered silk handkerchief (25 gp, 0.1 lb)
Embroidered silk and velvet mantle set with numerous moonstones (2500 gp, 0.1 lb)
Embroidered glove set with jewel chips (2500 gp, 0.1 lb)
Electrum coin with person's head (1 ep 0.02 lb)
Electrum coin (1 ep 0.02 lb)
Gold coin with dragon head (1gp, 0.1 lb)
Diamond (5000 gp, 0.1 lb)
Coral (100 gp, 0.1 lb)
Copper coin (1 cp, 0.02 lb)
Copper stein with silver filigree (25gp, 0.1 lb)
Copper chalice with silver filigree (25 gp, 0.1 lb)
Copper Alms-Coin (1cp, 0.1 lb)
Copper (cp) (1 cp, 0.02 lb)
Cloth-of-gold vestments (25gp, 0.1 lb)
Cloth-of-gold vestments (25 gp, 0.1 lb)
Citrine (50 gp, 0.1 lb)
Chrysoprase (50 gp, 0.1 lb)
Chrysoberyl (100 gp, 0.1 lb)
Chalcedony (50 gp, 0.1 lb)
Ceremonial silver dagger with gold pommel and black pearl (750 gp, 0.1 lb)
Ceremonial electrum dagger with a black pearl in the pommel (750 gp, 0.1 lb)
Carved jade statuette (250 gp, 0.1 lb)
Carved ivory statuette (250 gp, 0.1 lb)
Carved harp of exotic wood with ivory inlay and zircon gems (750 gp, 0.1 lb)
Carved bone statuette (25 gp, 0.1 lb)
Carnelian (50 gp, 0.1 lb)
Bronze spyglass (250 gp, 0.1 lb)
Bronze crown (250 gp, 0.1 lb)
Brass mug with jade inlay (250 gp, 0.1 lb)
Box of turquoise animal figurines (250 gp, 0.1 lb)
Bottle stopper cork embossed with gold leaf and set with amethysts (750 gp, 0.1 lb)
Blue Spinel (500 gp, 0.1 lb)
Blue Sapphire (1000 gp, 0.1 lb)
Blue Quartz (10 gp, 0.1 lb)
Bloodstone (50 gp, 0.1 lb)
Black velvet mask stitched with silver thread (25 gp, 0.1 lb)
Black Sapphire (5000 gp, 0.1 lb)
Black Pearl (500 gp, 0.1 lb)
Black Opal (1000 gp, 0.1 lb)
Bejeweled ivory drinking horn with gold inlay (7500 gp, 0.1 lb)
Bejeweled ivory drinking horn with gold filigree (7500 gp, 0.1 lb)
Banded Agate (10 gp, 0.1 lb)
Azurite (10 gp, 0.1 lb)
Aquamarine (500 gp, 0.1 lb)
Amulet of dinosaur feathers (25 gp, 0.1 lb)
Amethyst (100 gp, 0.1 lb)
Amber (100 gp, 0.1 lb)
Alexandrite (500 gp, 0.1 lb)
